sample_id,sample_name,formula::ABS,formula::PC,formula::增韧剂,process::加工温度,process::螺杆转速,condition_signature,target::冲击强度
T10-001,T10_sample_001,30.788536,63.936346,5.275118,231.001173,211.249503,ISO_179_23C_notched,33.003828
T10-002,T10_sample_002,35.843591,58.200081,5.956327,236.876873,184.171611,ISO_179_23C_notched,33.50417
T10-003,T10_sample_003,22.372759,67.068332,10.558908,221.061439,207.837271,ISO_179_23C_notched,33.117903
T10-004,T10_sample_004,22.408812,66.109265,11.481923,252.377218,180.909826,ISO_179_23C_notched,30.779785
T10-005,T10_sample_005,34.116385,53.204082,12.679533,233.610021,201.76713,ISO_179_23C_notched,46.440081
T10-006,T10_sample_006,19.854917,74.081203,6.06388,253.899775,264.521644,ISO_179_23C_notched,25.054749
T10-007,T10_sample_007,34.142565,52.830385,13.02705,241.449124,316.236207,ISO_179_23C_notched,44.046439
T10-008,T10_sample_008,34.588093,53.608189,11.803717,254.468276,260.8293,ISO_179_23C_notched,44.898516
T10-009,T10_sample_009,32.091437,62.404495,5.504068,229.115931,220.514315,ISO_179_23C_notched,36.177042
T10-010,T10_sample_010,20.020029,71.922262,8.05771,245.427378,231.076505,ISO_179_23C_notched,29.137862
T10-011,T10_sample_011,25.403619,67.291803,7.304577,230.679113,311.131642,ISO_179_23C_notched,31.773457
T10-012,T10_sample_012,21.422773,65.556832,13.020395,226.5361,233.123762,ISO_179_23C_notched,34.677879
T10-013,T10_sample_013,37.790467,50.169536,12.039997,242.27799,275.845995,ISO_179_23C_notched,48.805145
T10-014,T10_sample_014,22.580961,72.065936,5.353103,232.618122,217.483723,ISO_179_23C_notched,24.424765
T10-015,T10_sample_015,22.219657,62.408336,15.372007,255.054705,224.054903,ISO_179_23C_notched,36.939261
T10-016,T10_sample_016,36.290952,53.661678,10.04737,230.595207,214.527851,ISO_179_23C_notched,41.353702
T10-017,T10_sample_017,29.227363,62.88248,7.890158,243.38344,305.695204,ISO_179_23C_notched,34.637584
T10-018,T10_sample_018,37.950752,51.444459,10.604789,223.636376,186.596293,ISO_179_23C_notched,46.094221
T10-019,T10_sample_019,20.192983,67.905111,11.901906,251.683175,239.102395,ISO_179_23C_notched,34.901801
