sample_id,sample_name,company_id,project_id,_has_formula,_has_process,_has_target,_has_conditions,_core_closed,_strict_closed,target::冲击强度,_conditions_json,formula::ABS,formula::PC,formula::增韧剂,formula::抗氧剂,formula::滑石粉,formula::相容剂,formula::阻燃剂,process::保温时间,process::冷却时间,process::挤出温度,process::模具温度,process::注塑温度,process::螺杆转速
3237,ABS-66,6a4b19f62d0e000027001eb8,115,True,False,True,False,False,False,19,,64,34,1.7,1.5,11,,14,,,,,,
3809,trial_4,6a4b19f62d0e000027001eb8,115,True,True,True,False,True,False,54,,33.2425,43.1746,47.0201,61.969,30.7295,35.3401,22.3962,58.5744,33.5402,42.5671,55.4411,53.6478,98.0698
3811,trial_6,6a4b19f62d0e000027001eb8,115,True,True,True,False,True,False,24,,18.4956,59.7482,41.5676,79.6915,25.4813,32.4158,3.8161,81.2871,38.2234,25.0822,78.3657,79.8608,4.3452
3819,trial_11,6a4b19f62d0e000027001eb8,115,True,True,False,False,False,False,,,7.3552,9.2227,8.0179,33.7736,26.3298,78.3468,73.4936,21.0618,67.113,27.1406,94.2005,39.5774,68.8869
3820,trial_10,6a4b19f62d0e000027001eb8,115,True,True,False,False,False,False,,,85.3689,64.1528,25.8083,97.9289,12.7173,79.2315,28.9247,56.4049,84.405,24.416,81.741,73.8412,11.604
3822,trial_11,6a4b19f62d0e000027001eb8,115,True,True,False,False,False,False,,,49.1714,41.6321,75.5383,43.1944,27.3298,23.7405,78.0916,50.7445,83.4278,55.5823,61.4608,87.6256,7.7471
3823,trial_6,6a4b19f62d0e000027001eb8,115,False,True,True,False,False,False,24,,,,,,,,,70.0144,65.3462,16.9913,14.1852,11.1874,97.7708
3824,trial_5,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3826,trial_9,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3827,trial_10,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3828,trial_9,6a4b19f62d0e000027001eb8,115,True,True,False,False,False,False,,,66.66,23.26,1.61,0.22,8.67,1.08,10.37,31.02,20.44,215.47,58.15,229.0,400.96
3829,trial_10,6a4b19f62d0e000027001eb8,115,True,True,False,False,False,False,,,65.32,31.56,1.98,0.22,11.51,1.26,13.92,33.47,19.63,217.97,62.49,228.28,395.02
3882,实验1,6a4b19f62d0e000027001eb8,115,False,True,True,False,False,False,20,,,,,,,,,10,01,01,01,01,01
3883,实验2,6a4b19f62d0e000027001eb8,115,False,False,True,False,False,False,20,,,,,,,,,,,,,,
3884,trial_9,6a4b19f62d0e000027001eb8,115,True,True,False,False,False,False,,,60,23.26,1.61,0.22,8.67,1.08,10.37,31.02,20.44,215.47,58.15,229.0,400.96
3885,trial_10,6a4b19f62d0e000027001eb8,115,True,True,False,False,False,False,,,65.32,31.56,1.98,0.22,11.51,1.26,13.92,33.47,19.63,217.97,62.49,228.28,395.02
3886,实验2,6a4b19f62d0e000027001eb8,115,False,True,False,False,False,False,,,,,,,,,,20,02,02,02,02,02
3887,档案录入,6a4b19f62d0e000027001eb8,115,True,False,False,False,False,False,,,100,100,0,0,0,,0,,,,,,
3889,对比登记1,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3890,trial_5,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3891,trial_6,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3892,trial_7,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3893,trial_8,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3894,trial10,6a4b19f62d0e000027001eb8,115,False,True,True,False,False,False,010,,,,,,,,,43.104,22.6034,31.6741,30.8887,50.9647,80.1876
3895,trial_10,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3896,trial_11,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3897,trial_12,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3898,trial_13,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3899,trial_14,6a4b19f62d0e000027001eb8,115,False,False,False,False,False,False,,,,,,,,,,,,,,,
3900,实验测试9,6a4b19f62d0e000027001eb8,115,False,True,False,False,False,False,,,,,,,,,,31.02,20.44,215.47,58.15,229.0,400.96
3901,实验测试10,6a4b19f62d0e000027001eb8,115,False,True,False,False,False,False,,,,,,,,,,33.47,19.63,217.97,62.49,228.28,395.02
